timestamp,iso_time,price_inr
1762236121,2025-11-04T11:32:01,9259981.595389621
1762239716,2025-11-04T12:31:56,9275164.995031768
1762243318,2025-11-04T13:31:58,9264784.332242163
1762246890,2025-11-04T14:31:30,9214692.629645573
1762250527,2025-11-04T15:32:07,9191338.697837591
1762254793,2025-11-04T16:43:13,9212654.472070774
1762257643,2025-11-04T17:30:43,9270489.113261895
1762261238,2025-11-04T18:30:38,9218439.185305724
1762264900,2025-11-04T19:31:40,9226598.005650323
1762268519,2025-11-04T20:31:59,9268332.780471861
1762272100,2025-11-04T21:31:40,9196465.191711493
1762275642,2025-11-04T22:30:42,9064925.343660863
1762279317,2025-11-04T23:31:57,8967399.201867279
1762283171,2025-11-05T00:36:11,8988893.979021667
1762286503,2025-11-05T01:31:43,8929846.167980935
1762290112,2025-11-05T02:31:52,8929692.150077956
1762293721,2025-11-05T03:32:01,8838404.382007869
1762297256,2025-11-05T04:30:56,8976861.4119517
1762300852,2025-11-05T05:30:52,9004606.603719808
1762304504,2025-11-05T06:31:44,8926286.625319133
1762308106,2025-11-05T07:31:46,8922071.549008638
1762311698,2025-11-05T08:31:38,8995238.627567966
1762315479,2025-11-05T09:34:39,9064196.154685862
1762318878,2025-11-05T10:31:18,9051091.021047955
1762322526,2025-11-05T11:32:06,9028867.11369292
1762326129,2025-11-05T12:32:09,9055316.752534082
1762329713,2025-11-05T13:31:53,9048560.947112933
1762333225,2025-11-05T14:30:25,9019769.629694194
1762336909,2025-11-05T15:31:49,9034534.121317511
1762340448,2025-11-05T16:30:48,8986784.181173384
1762344067,2025-11-05T17:31:07,9050828.355374971
1762347673,2025-11-05T18:31:13,9098621.190330932
1762351329,2025-11-05T19:32:09,9150049.413212433
1762354903,2025-11-05T20:31:43,9150879.352126293
1762358521,2025-11-05T21:32:01,9188400.496139266
1762362090,2025-11-05T22:31:30,9203777.30718506
1762365951,2025-11-05T23:35:51,9195443.212914202
1762369298,2025-11-06T00:31:38,9241458.996279152
1762372850,2025-11-06T01:30:50,9213639.450053496
1762376519,2025-11-06T02:31:59,9200904.596378494
1762380025,2025-11-06T03:30:25,9180167.822476488
1762383703,2025-11-06T04:31:43,9186175.849159231
1762387222,2025-11-06T05:30:22,9199126.082980732
1762390894,2025-11-06T06:31:34,9178037.441159891
1762394499,2025-11-06T07:31:39,9163921.707597774
1762398080,2025-11-06T08:31:20,9161219.78806228
1762401621,2025-11-06T09:30:21,9186135.801807294
1762405328,2025-11-06T10:32:08,9209223.30842135
1762408903,2025-11-06T11:31:43,9134771.725768054
1762412498,2025-11-06T12:31:38,9154191.885517376
1762416100,2025-11-06T13:31:40,9133248.123568093
1762419697,2025-11-06T14:31:37,9141617.658026123
1762423293,2025-11-06T15:31:33,9124838.51648633
1762426911,2025-11-06T16:31:51,9141389.505707702
1762430534,2025-11-06T17:32:14,9146029.608186956
1762434103,2025-11-06T18:31:43,9079764.411338035
1762437708,2025-11-06T19:31:48,9155954.02219795
1762441304,2025-11-06T20:31:44,9052894.189672153
1762444800,2025-11-06T21:30:00,9043121.605026545
1762448511,2025-11-06T22:31:51,8953338.121225256
1762452075,2025-11-06T23:31:15,9019935.083342893
1762455730,2025-11-07T00:32:10,9043229.335678473
1762459324,2025-11-07T01:32:04,8979336.91543143
1762462904,2025-11-07T02:31:44,8945837.369067354
1762466791,2025-11-07T03:36:31,8961177.965782946
1762470081,2025-11-07T04:31:21,8983737.073771501
1762473700,2025-11-07T05:31:40,8984607.813501872
1762477291,2025-11-07T06:31:31,8996651.612317469
1762480903,2025-11-07T07:31:43,8969510.412926426
1762484504,2025-11-07T08:31:44,9018910.56343458
1762488084,2025-11-07T09:31:24,9035144.346780712
1762492004,2025-11-07T10:36:44,9044877.431201404
1762495278,2025-11-07T11:31:18,9082387.245294249
1762498869,2025-11-07T12:31:09,9031663.85358
1762502505,2025-11-07T13:31:45,9043156.632394146
1762506029,2025-11-07T14:30:29,8996243.50058403
1762509706,2025-11-07T15:31:46,8941143.429433495
1762513305,2025-11-07T16:31:45,8921369.161352314
1762516877,2025-11-07T17:31:17,8901132.722720098
1762520505,2025-11-07T18:31:45,8815351.225418726
